nama_provinsi,tahun,nilai,indikator
JAWA BARAT,2011,7.46,Rata-rata Lama Sekolah
JAWA BARAT,2012,11.24,Harapan Lama Sekolah
JAWA BARAT,2012,7.52,Rata-rata Lama Sekolah
JAWA BARAT,2013,11.81,Harapan Lama Sekolah
JAWA BARAT,2013,7.58,Rata-rata Lama Sekolah
JAWA BARAT,2014,12.08,Harapan Lama Sekolah
JAWA BARAT,2014,7.71,Rata-rata Lama Sekolah
JAWA BARAT,2015,12.15,Harapan Lama Sekolah
JAWA BARAT,2015,7.86,Rata-rata Lama Sekolah
JAWA BARAT,2016,12.3,Harapan Lama Sekolah
JAWA BARAT,2016,7.95,Rata-rata Lama Sekolah
JAWA BARAT,2017,12.42,Harapan Lama Sekolah
JAWA BARAT,2017,8.14,Rata-rata Lama Sekolah
JAWA BARAT,2018,12.45,Harapan Lama Sekolah
JAWA BARAT,2018,8.15,Rata-rata Lama Sekolah
JAWA BARAT,2019,12.48,Harapan Lama Sekolah
JAWA BARAT,2019,8.37,Rata-rata Lama Sekolah
JAWA BARAT,2020,12.5,Harapan Lama Sekolah
JAWA BARAT,2020,8.55,Rata-rata Lama Sekolah
JAWA BARAT,2021,12.61,Harapan Lama Sekolah
JAWA BARAT,2021,8.61,Rata-rata Lama Sekolah
JAWA BARAT,2022,12.62,Harapan Lama Sekolah
JAWA BARAT,2022,8.78,Rata-rata Lama Sekolah
JAWA BARAT,2023,12.68,Harapan Lama Sekolah
JAWA BARAT,2023,8.83,Rata-rata Lama Sekolah
JAWA BARAT,2024,12.8,Harapan Lama Sekolah
JAWA BARAT,2024,8.87,Rata-rata Lama Sekolah
JAWA TENGAH,2010,11.09,Harapan Lama Sekolah
JAWA TENGAH,2010,6.71,Rata-rata Lama Sekolah
JAWA TENGAH,2011,11.18,Harapan Lama Sekolah
JAWA TENGAH,2011,6.74,Rata-rata Lama Sekolah
JAWA TENGAH,2012,11.39,Harapan Lama Sekolah
JAWA TENGAH,2012,6.77,Rata-rata Lama Sekolah
JAWA TENGAH,2013,11.89,Harapan Lama Sekolah
JAWA TENGAH,2013,6.8,Rata-rata Lama Sekolah
JAWA TENGAH,2014,12.17,Harapan Lama Sekolah
JAWA TENGAH,2014,6.93,Rata-rata Lama Sekolah
JAWA TENGAH,2015,12.38,Harapan Lama Sekolah
JAWA TENGAH,2015,7.03,Rata-rata Lama Sekolah
JAWA TENGAH,2016,12.45,Harapan Lama Sekolah
JAWA TENGAH,2016,7.15,Rata-rata Lama Sekolah
JAWA TENGAH,2017,12.57,Harapan Lama Sekolah
JAWA TENGAH,2017,7.27,Rata-rata Lama Sekolah
JAWA TENGAH,2018,12.63,Harapan Lama Sekolah
JAWA TENGAH,2018,7.35,Rata-rata Lama Sekolah
JAWA TENGAH,2019,12.68,Harapan Lama Sekolah
JAWA TENGAH,2019,7.53,Rata-rata Lama Sekolah
